Sample_ID,Polymer,Concentration_pct,High_50000Hz,Mid_1000Hz,Low_1Hz
S01,None (control),0.0,1236.2659,0.0041990322,0.11323015
S07,PE,0.5,3731.5718,3896.4033,16222.106
S08,PE,1.0,3082.5803,3251.2627,9027.0908
S09,PE,5.0,3807.7786,3971.5105,8106.4277
S10,PE,10.0,3285.8501,3418.1489,6813.8643
S11,PE,20.0,3417.6267,3559.3328,6206.4829
