Sample_ID,Polymer,Concentration_pct,High_50000Hz,Mid_1000Hz,Low_1Hz
S01,None (control),0.0,1236.2659,0.0041990322,0.11323015
S12,PCL,0.5,3464.3462,3584.3013,6882.5835
S13,PCL,1.0,3445.1226,3614.5549,5644.8672
S14,PCL,5.0,3955.2642,4051.377,19050.424
S15,PCL,10.0,3094.2148,3187.2793,9739.9268
S16,PCL,20.0,3189.2593,3281.176,11078.722
