Sample_ID,Polymer,Concentration_pct,High_50000Hz,Mid_1000Hz,Low_1Hz
S01,None (control),0.0,1236.2659,0.0041990322,0.11323015
S02,PP,0.5,2210.2617,2320.5554,6411.8662
S03,PP,1.0,4296.1753,4494.0093,8046.8984
S04,PP,5.0,2210.2617,2320.5554,6411.8662
S05,PP,10.0,3780.7739,3942.1931,6403.1196
S06,PP,20.0,3519.2283,3673.7788,17274.875
